Class;Start time;Stop time
other;2017-01-31 11:57:42.288;2017-01-31 11:57:53.648
absence;2017-01-31 11:57:53.668;2017-01-31 12:01:58.348
other;2017-01-31 12:01:58.368;2017-01-31 12:02:28.388
absence;2017-01-31 12:02:28.408;2017-01-31 19:59:44.908
other;2017-01-31 19:59:44.928;2017-01-31 19:59:58.268
dressing;2017-01-31 19:59:58.288;2017-01-31 20:01:25.168
other;2017-01-31 20:01:25.188;2017-01-31 20:01:32.808
absence;2017-01-31 20:01:32.828;2017-01-31 22:47:33.268
other;2017-01-31 22:47:33.288;2017-01-31 22:47:51.608
dressing;2017-01-31 22:47:51.628;2017-01-31 22:50:33.008
other;2017-01-31 22:50:33.028;2017-01-31 22:50:45.368
absence;2017-01-31 22:50:45.388;2017-01-31 23:11:28.468
other;2017-01-31 23:11:28.488;2017-01-31 23:12:06.768
dressing;2017-01-31 23:12:06.788;2017-01-31 23:12:49.808
other;2017-01-31 23:12:49.828;2017-01-31 23:12:59.108
absence;2017-01-31 23:12:59.128;2017-01-31 23:24:42.948
other;2017-01-31 23:24:42.968;2017-01-31 23:24:56.148
dressing;2017-01-31 23:24:56.168;2017-01-31 23:25:49.848
other;2017-01-31 23:25:49.868;2017-01-31 23:26:02.748
absence;2017-01-31 23:26:02.768;2017-02-01 01:39:47.308
other;2017-02-01 01:39:47.328;2017-02-01 01:40:04.568
sleeping;2017-02-01 01:40:04.588;2017-02-01 10:07:28.648
other;2017-02-01 10:07:28.668;2017-02-01 10:07:56.128
absence;2017-02-01 10:07:56.148;2017-02-01 10:54:13.548
vacuumcleaner;2017-02-01 10:54:13.568;2017-02-01 10:55:35.088
absence;2017-02-01 10:55:35.108;2017-02-01 12:46:52.768
other;2017-02-01 12:46:52.788;2017-02-01 12:47:04.808
dressing;2017-02-01 12:47:04.828;2017-02-01 12:52:03.168
other;2017-02-01 12:52:03.188;2017-02-01 12:52:13.608
absence;2017-02-01 12:52:13.628;2017-02-01 14:05:12.628
other;2017-02-01 14:05:12.648;2017-02-01 14:05:20.628
dressing;2017-02-01 14:05:20.648;2017-02-01 14:06:22.268
other;2017-02-01 14:06:22.288;2017-02-01 14:06:32.788
absence;2017-02-01 14:06:32.808;2017-02-01 14:16:12.908
other;2017-02-01 14:16:12.928;2017-02-01 14:16:24.948
dressing;2017-02-01 14:16:24.968;2017-02-01 14:19:13.968
other;2017-02-01 14:19:13.988;2017-02-01 14:19:19.868
absence;2017-02-01 14:19:19.888;2017-02-01 14:37:31.968
vacuumcleaner;2017-02-01 14:37:31.988;2017-02-01 14:38:31.948
absence;2017-02-01 14:38:31.968;2017-02-01 15:32:19.328
dont use;2017-02-01 15:32:19.348;2017-02-01 16:34:13.428
absence;2017-02-01 16:34:13.448;2017-02-02 00:05:17.188
vacuumcleaner;2017-02-02 00:05:17.208;2017-02-02 00:05:52.728
absence;2017-02-02 00:05:52.748;2017-02-02 03:20:04.668
other;2017-02-02 03:20:04.688;2017-02-02 03:20:17.488
sleeping;2017-02-02 03:20:17.508;2017-02-02 07:53:42.228
other;2017-02-02 07:53:42.248;2017-02-02 07:54:06.128
absence;2017-02-02 07:54:06.148;2017-02-02 08:15:56.288
other;2017-02-02 08:15:56.308;2017-02-02 08:16:05.408
dressing;2017-02-02 08:16:05.428;2017-02-02 08:16:44.168
other;2017-02-02 08:16:44.188;2017-02-02 08:16:50.288
absence;2017-02-02 08:16:50.308;2017-02-02 08:23:37.308
other;2017-02-02 08:23:37.328;2017-02-02 08:23:52.768
dressing;2017-02-02 08:23:52.788;2017-02-02 08:24:56.588
other;2017-02-02 08:24:56.608;2017-02-02 08:25:00.588
absence;2017-02-02 08:25:00.608;2017-02-02 15:09:38.548
other;2017-02-02 15:09:38.568;2017-02-02 15:10:31.548
absence;2017-02-02 15:10:31.568;2017-02-02 17:36:59.248
other;2017-02-02 17:36:59.268;2017-02-02 17:37:12.148
absence;2017-02-02 17:37:12.168;2017-02-02 22:10:37.948
vacuumcleaner;2017-02-02 22:10:37.968;2017-02-02 22:11:47.228
absence;2017-02-02 22:11:47.248;2017-02-02 22:14:38.348
other;2017-02-02 22:14:38.368;2017-02-02 22:14:55.248
dressing;2017-02-02 22:14:55.268;2017-02-02 22:15:35.348
other;2017-02-02 22:15:35.368;2017-02-02 22:15:45.008
absence;2017-02-02 22:15:45.028;2017-02-02 22:31:37.068
other;2017-02-02 22:31:37.088;2017-02-02 22:31:47.988
dressing;2017-02-02 22:31:48.008;2017-02-02 22:33:39.168
other;2017-02-02 22:33:39.188;2017-02-02 22:33:46.988
absence;2017-02-02 22:33:47.008;2017-02-03 02:32:27.928
other;2017-02-03 02:32:27.948;2017-02-03 02:32:51.388
sleeping;2017-02-03 02:32:51.408;2017-02-03 10:41:50.128
other;2017-02-03 10:41:50.148;2017-02-03 10:42:04.428
absence;2017-02-03 10:42:04.448;2017-02-03 12:48:31.668
vacuumcleaner;2017-02-03 12:48:31.688;2017-02-03 12:49:38.788
absence;2017-02-03 12:49:38.808;2017-02-03 12:50:44.288
other;2017-02-03 12:50:44.308;2017-02-03 12:50:54.148
dressing;2017-02-03 12:50:54.168;2017-02-03 12:51:44.868
other;2017-02-03 12:51:44.888;2017-02-03 12:51:49.808
absence;2017-02-03 12:51:49.828;2017-02-03 13:06:53.888
other;2017-02-03 13:06:53.908;2017-02-03 13:07:03.968
dressing;2017-02-03 13:07:03.988;2017-02-03 13:08:57.428
other;2017-02-03 13:08:57.448;2017-02-03 13:09:02.228
absence;2017-02-03 13:09:02.248;2017-02-03 14:59:22.948
visit;2017-02-03 14:59:22.968;2017-02-03 14:59:38.848
absence;2017-02-03 14:59:38.868;2017-02-04 02:11:08.048
vacuumcleaner;2017-02-04 02:11:08.068;2017-02-04 02:12:23.128
absence;2017-02-04 02:12:23.148;2017-02-04 08:37:39.528
other;2017-02-04 08:37:39.548;2017-02-04 08:37:53.708
sleeping;2017-02-04 08:37:53.728;2017-02-04 11:37:30.068
other;2017-02-04 11:37:30.088;2017-02-04 11:37:46.868
absence;2017-02-04 11:37:46.888;2017-02-04 12:18:35.888
vacuumcleaner;2017-02-04 12:18:35.908;2017-02-04 12:19:23.048
absence;2017-02-04 12:19:23.068;2017-02-04 13:41:17.268
other;2017-02-04 13:41:17.288;2017-02-04 13:41:26.888
dressing;2017-02-04 13:41:26.908;2017-02-04 13:42:23.388
other;2017-02-04 13:42:23.408;2017-02-04 13:42:32.288
absence;2017-02-04 13:42:32.308;2017-02-04 13:57:04.208
other;2017-02-04 13:57:04.228;2017-02-04 13:57:12.088
dressing;2017-02-04 13:57:12.108;2017-02-04 13:58:18.368
other;2017-02-04 13:58:18.388;2017-02-04 13:58:27.328
absence;2017-02-04 13:58:27.348;2017-02-04 23:18:41.288
other;2017-02-04 23:18:41.308;2017-02-04 23:18:53.488
dressing;2017-02-04 23:18:53.508;2017-02-04 23:20:58.148
other;2017-02-04 23:20:58.168;2017-02-04 23:21:12.948
absence;2017-02-04 23:21:12.968;2017-02-04 23:23:41.228
other;2017-02-04 23:23:41.248;2017-02-04 23:23:56.388
absence;2017-02-04 23:23:56.408;2017-02-04 23:51:37.248
other;2017-02-04 23:51:37.268;2017-02-04 23:51:59.148
dressing;2017-02-04 23:51:59.168;2017-02-04 23:52:48.768
other;2017-02-04 23:52:48.788;2017-02-04 23:53:00.048
absence;2017-02-04 23:53:00.068;2017-02-05 00:02:33.408
other;2017-02-05 00:02:33.428;2017-02-05 00:02:44.448
dressing;2017-02-05 00:02:44.468;2017-02-05 00:04:29.248
other;2017-02-05 00:04:29.268;2017-02-05 00:04:36.228
absence;2017-02-05 00:04:36.248;2017-02-05 02:49:57.448
other;2017-02-05 02:49:57.468;2017-02-05 02:50:13.828
sleeping;2017-02-05 02:50:13.848;2017-02-05 08:31:14.948
other;2017-02-05 08:31:14.968;2017-02-05 08:31:29.528
absence;2017-02-05 08:31:29.548;2017-02-05 09:02:15.608
other;2017-02-05 09:02:15.628;2017-02-05 09:02:26.428
dressing;2017-02-05 09:02:26.448;2017-02-05 09:03:14.668
other;2017-02-05 09:03:14.688;2017-02-05 09:03:24.768
absence;2017-02-05 09:03:24.788;2017-02-05 09:18:59.348
other;2017-02-05 09:18:59.368;2017-02-05 09:19:08.808
dressing;2017-02-05 09:19:08.828;2017-02-05 09:20:06.288
other;2017-02-05 09:20:06.308;2017-02-05 09:20:18.568
absence;2017-02-05 09:20:18.588;2017-02-05 09:32:22.528
