Class;Start time;Stop time
hall;2017-01-30 14:58:48.542;2017-01-30 15:00:43.653
bathroom;2017-01-30 14:59:33.119;2017-01-30 15:00:22.250
living;2017-01-30 15:00:30.383;2017-01-30 15:01:57.376
hall;2017-01-30 15:01:48.296;2017-01-30 15:02:07.919
bathroom;2017-01-30 15:02:00.962;2017-01-30 15:03:43.283
toothbrushing;2017-01-30 15:02:20.828;2017-01-30 15:03:26.619
hall;2017-01-30 15:03:34.497;2017-01-30 15:03:51.710
living;2017-01-30 15:03:46.745;2017-01-30 16:48:01.493
working;2017-01-30 15:04:03.430;2017-01-30 15:59:28.730
cooking;2017-01-30 15:59:56.005;2017-01-30 16:27:18.201
eating;2017-01-30 16:27:35.958;2017-01-30 16:39:30.212
dishwashing;2017-01-30 16:39:43.230;2017-01-30 16:47:01.071
hall;2017-01-30 16:47:55.091;2017-01-30 16:48:11.701
bathroom;2017-01-30 16:48:03.731;2017-01-30 16:57:23.946
toothbrushing;2017-01-30 16:48:22.145;2017-01-30 16:49:28.383
shaving;2017-01-30 16:49:34.576;2017-01-30 16:56:11.644
hall;2017-01-30 16:57:18.709;2017-01-30 16:57:32.195
living;2017-01-30 16:57:26.196;2017-01-30 17:36:09.914
working;2017-01-30 16:57:41.123;2017-01-30 17:10:40.152
watching tv;2017-01-30 17:11:00.474;2017-01-30 17:35:41.476
hall;2017-01-30 17:36:02.630;2017-01-30 17:36:18.759
bedroom;2017-01-30 17:36:10.659;2017-01-30 17:37:02.710
hall;2017-01-30 17:36:54.348;2017-01-30 17:37:15.583
living;2017-01-30 17:37:04.641;2017-01-30 21:21:51.347
watching tv;2017-01-30 17:37:34.493;2017-01-30 21:20:53.704
hall;2017-01-30 21:21:44.423;2017-01-30 21:22:02.199
wcroom;2017-01-30 21:21:56.353;2017-01-30 21:24:46.665
toilet;2017-01-30 21:22:03.761;2017-01-30 21:24:38.057
hall;2017-01-30 21:24:42.256;2017-01-30 21:24:56.735
living;2017-01-30 21:24:47.034;2017-01-30 23:27:24.719
working;2017-01-30 21:26:07.801;2017-01-30 21:52:12.837
calling;2017-01-30 21:52:36.860;2017-01-30 22:03:28.929
working;2017-01-30 22:03:53.658;2017-01-30 22:52:28.895
dont use;2017-01-30 22:52:23.999;2017-01-30 22:54:04.891
working;2017-01-30 22:54:05.150;2017-01-30 23:08:12.917
cooking;2017-01-30 23:08:18.308;2017-01-30 23:16:54.936
eating;2017-01-30 23:17:02.829;2017-01-30 23:25:25.887
vacuumcleaner;2017-01-30 23:26:01.344;2017-01-30 23:29:06.065
hall;2017-01-30 23:27:19.824;2017-01-30 23:28:49.906
bathroom;2017-01-30 23:27:39.664;2017-01-30 23:28:05.118
living;2017-01-30 23:28:46.686;2017-01-30 23:50:01.075
working;2017-01-30 23:29:23.189;2017-01-30 23:49:46.294
hall;2017-01-30 23:49:53.007;2017-01-30 23:50:09.163
bedroom;2017-01-30 23:50:02.859;2017-01-30 23:51:18.122
dressing;2017-01-30 23:50:25.158;2017-01-30 23:51:09.204
hall;2017-01-30 23:51:12.667;2017-01-30 23:51:33.453
bathroom;2017-01-30 23:51:20.290;2017-01-31 00:01:36.403
showering;2017-01-30 23:51:38.322;2017-01-30 23:55:47.328
getting dry;2017-01-30 23:56:15.135;2017-01-30 23:57:48.579
toothbrushing;2017-01-30 23:58:08.587;2017-01-30 23:59:19.677
shaving;2017-01-30 23:59:30.182;2017-01-31 00:00:28.241
hall;2017-01-31 00:01:26.800;2017-01-31 00:01:46.341
bedroom;2017-01-31 00:01:39.809;2017-01-31 00:02:47.907
dressing;2017-01-31 00:01:53.439;2017-01-31 00:02:36.056
hall;2017-01-31 00:02:43.465;2017-01-31 00:02:55.682
living;2017-01-31 00:02:53.167;2017-01-31 01:52:05.325
working;2017-01-31 00:03:02.651;2017-01-31 00:04:29.389
working;2017-01-31 00:06:34.222;2017-01-31 00:08:13.009
watching tv;2017-01-31 00:08:38.143;2017-01-31 01:51:32.244
hall;2017-01-31 01:51:56.637;2017-01-31 01:52:18.600
bedroom;2017-01-31 01:52:10.271;2017-01-31 09:02:27.996
sleeping;2017-01-31 01:52:35.119;2017-01-31 09:02:11.026
hall;2017-01-31 09:02:22.737;2017-01-31 09:02:36.239
wcroom;2017-01-31 09:02:31.438;2017-01-31 09:04:52.895
toilet;2017-01-31 09:02:35.766;2017-01-31 09:04:42.415
hall;2017-01-31 09:04:47.604;2017-01-31 09:05:06.946
living;2017-01-31 09:05:00.446;2017-01-31 11:43:12.219
working;2017-01-31 09:06:53.424;2017-01-31 09:17:58.070
calling;2017-01-31 09:19:28.381;2017-01-31 10:25:38.874
cooking;2017-01-31 10:26:47.685;2017-01-31 10:40:41.497
eating;2017-01-31 10:40:52.396;2017-01-31 10:46:16.004
working;2017-01-31 10:46:58.097;2017-01-31 11:42:48.081
hall;2017-01-31 11:43:04.837;2017-01-31 11:43:21.221
bedroom;2017-01-31 11:43:16.452;2017-01-31 11:44:09.384
dressing;2017-01-31 11:43:24.708;2017-01-31 11:44:03.773
hall;2017-01-31 11:44:04.615;2017-01-31 11:44:22.003
bathroom;2017-01-31 11:44:14.393;2017-01-31 11:53:39.957
showering;2017-01-31 11:44:33.933;2017-01-31 11:48:13.487
getting dry;2017-01-31 11:48:33.905;2017-01-31 11:50:35.789
toothbrushing;2017-01-31 11:50:46.485;2017-01-31 11:52:08.681
shaving;2017-01-31 11:52:25.154;2017-01-31 11:53:19.340
hall;2017-01-31 11:53:33.784;2017-01-31 11:53:49.080
bedroom;2017-01-31 11:53:44.965;2017-01-31 11:57:53.649
dressing;2017-01-31 11:53:57.571;2017-01-31 11:57:42.272
hall;2017-01-31 11:57:46.333;2017-01-31 11:58:01.743
living;2017-01-31 11:57:54.165;2017-01-31 12:01:55.370
working;2017-01-31 11:58:09.492;2017-01-31 12:00:33.191
hall;2017-01-31 12:01:48.152;2017-01-31 12:02:56.415
bedroom;2017-01-31 12:01:58.375;2017-01-31 12:02:28.397
absence;2017-01-31 12:02:56.415;2017-01-31 18:33:12.702
hall;2017-01-31 18:33:12.702;2017-01-31 18:33:52.811
living;2017-01-31 18:33:43.796;2017-01-31 18:35:17.994
hall;2017-01-31 18:35:11.266;2017-01-31 18:35:31.183
wcroom;2017-01-31 18:35:22.528;2017-01-31 18:42:23.906
toilet;2017-01-31 18:37:41.585;2017-01-31 18:42:17.275
hall;2017-01-31 18:42:08.032;2017-01-31 18:42:31.081
living;2017-01-31 18:42:28.043;2017-01-31 19:10:29.875
calling;2017-01-31 18:42:57.614;2017-01-31 18:46:13.152
calling;2017-01-31 18:49:04.905;2017-01-31 18:53:07.724
working;2017-01-31 18:55:30.077;2017-01-31 19:02:25.355
working;2017-01-31 19:03:38.003;2017-01-31 19:10:05.603
hall;2017-01-31 19:10:24.061;2017-01-31 19:10:46.002
bathroom;2017-01-31 19:10:37.445;2017-01-31 19:13:04.260
hall;2017-01-31 19:12:58.544;2017-01-31 19:13:11.979
living;2017-01-31 19:13:05.414;2017-01-31 19:59:44.409
working;2017-01-31 19:13:26.437;2017-01-31 19:16:34.519
calling;2017-01-31 19:16:33.823;2017-01-31 19:19:08.924
calling;2017-01-31 19:21:47.956;2017-01-31 19:25:04.657
working;2017-01-31 19:25:55.136;2017-01-31 19:30:07.111
calling;2017-01-31 19:30:07.470;2017-01-31 19:31:38.990
working;2017-01-31 19:31:43.877;2017-01-31 19:39:43.303
calling;2017-01-31 19:39:59.689;2017-01-31 19:46:06.679
working;2017-01-31 19:46:17.322;2017-01-31 19:59:19.318
hall;2017-01-31 19:59:35.394;2017-01-31 19:59:50.708
bedroom;2017-01-31 19:59:44.927;2017-01-31 20:01:32.808
dressing;2017-01-31 19:59:58.287;2017-01-31 20:01:25.172
hall;2017-01-31 20:01:27.549;2017-01-31 20:01:41.150
living;2017-01-31 20:01:33.964;2017-01-31 21:04:09.847
dishwashing;2017-01-31 20:02:10.966;2017-01-31 20:08:40.229
cooking;2017-01-31 20:08:46.700;2017-01-31 20:38:06.495
eating;2017-01-31 20:38:20.463;2017-01-31 20:56:24.532
dishwashing;2017-01-31 20:56:38.951;2017-01-31 21:03:52.061
hall;2017-01-31 21:04:03.870;2017-01-31 21:04:19.917
bathroom;2017-01-31 21:04:10.608;2017-01-31 21:07:44.214
toothbrushing;2017-01-31 21:04:30.172;2017-01-31 21:05:39.838
shaving;2017-01-31 21:05:47.417;2017-01-31 21:07:12.434
hall;2017-01-31 21:07:38.106;2017-01-31 21:07:53.505
living;2017-01-31 21:07:46.777;2017-01-31 22:47:28.787
working;2017-01-31 21:08:01.634;2017-01-31 21:41:47.880
calling;2017-01-31 21:42:23.144;2017-01-31 21:48:15.598
working;2017-01-31 21:48:28.728;2017-01-31 22:15:16.768
calling;2017-01-31 22:15:43.875;2017-01-31 22:18:44.194
working;2017-01-31 22:19:35.267;2017-01-31 22:46:59.460
hall;2017-01-31 22:47:21.373;2017-01-31 22:47:40.274
bedroom;2017-01-31 22:47:33.284;2017-01-31 22:50:45.368
dressing;2017-01-31 22:47:51.635;2017-01-31 22:50:33.004
hall;2017-01-31 22:50:33.838;2017-01-31 22:50:53.379
living;2017-01-31 22:50:45.703;2017-01-31 22:51:37.591
hall;2017-01-31 22:51:29.915;2017-01-31 22:51:50.219
living;2017-01-31 22:51:43.229;2017-01-31 22:52:16.385
hall;2017-01-31 22:52:09.363;2017-01-31 22:52:40.694
absence;2017-01-31 22:52:40.694;2017-01-31 23:10:57.276
hall;2017-01-31 23:10:57.276;2017-01-31 23:11:40.152
bedroom;2017-01-31 23:11:28.492;2017-01-31 23:12:59.100
dressing;2017-01-31 23:12:06.782;2017-01-31 23:12:49.808
hall;2017-01-31 23:12:51.686;2017-01-31 23:13:13.733
bathroom;2017-01-31 23:13:00.962;2017-01-31 23:24:38.577
showering;2017-01-31 23:13:18.993;2017-01-31 23:17:37.412
getting dry;2017-01-31 23:17:58.855;2017-01-31 23:19:42.984
toothbrushing;2017-01-31 23:21:19.611;2017-01-31 23:22:31.054
shaving;2017-01-31 23:22:50.294;2017-01-31 23:24:02.684
hall;2017-01-31 23:24:24.402;2017-01-31 23:24:47.668
bedroom;2017-01-31 23:24:42.965;2017-01-31 23:26:02.747
dressing;2017-01-31 23:24:56.174;2017-01-31 23:25:49.856
hall;2017-01-31 23:25:55.398;2017-01-31 23:26:18.300
living;2017-01-31 23:26:03.080;2017-02-01 01:39:44.065
working;2017-01-31 23:26:36.569;2017-01-31 23:42:30.233
watching tv;2017-01-31 23:44:15.738;2017-02-01 01:39:12.811
hall;2017-02-01 01:39:31.817;2017-02-01 01:39:55.922
bedroom;2017-02-01 01:39:47.332;2017-02-01 10:07:56.135
sleeping;2017-02-01 01:40:04.580;2017-02-01 10:07:28.643
hall;2017-02-01 10:07:51.464;2017-02-01 10:08:06.566
wcroom;2017-02-01 10:07:58.107;2017-02-01 10:13:11.470
toilet;2017-02-01 10:08:07.605;2017-02-01 10:13:01.620
hall;2017-02-01 10:13:04.219;2017-02-01 10:13:20.244
living;2017-02-01 10:13:11.654;2017-02-01 10:51:56.866
cooking;2017-02-01 10:14:32.783;2017-02-01 10:32:24.642
eating;2017-02-01 10:32:35.257;2017-02-01 10:41:31.920
dishwashing;2017-02-01 10:42:23.754;2017-02-01 10:49:36.944
vacuumcleaner;2017-02-01 10:49:55.654;2017-02-01 10:56:12.421
hall;2017-02-01 10:51:52.917;2017-02-01 10:55:53.576
bathroom;2017-02-01 10:52:34.210;2017-02-01 10:53:06.853
wcroom;2017-02-01 10:53:37.046;2017-02-01 10:54:10.223
bedroom;2017-02-01 10:54:13.572;2017-02-01 10:55:35.081
living;2017-02-01 10:55:42.942;2017-02-01 10:56:25.480
hall;2017-02-01 10:56:19.604;2017-02-01 10:56:33.620
bathroom;2017-02-01 10:56:25.909;2017-02-01 11:00:15.568
toothbrushing;2017-02-01 10:56:54.908;2017-02-01 10:58:11.669
shaving;2017-02-01 10:58:15.616;2017-02-01 10:59:58.140
hall;2017-02-01 11:00:10.211;2017-02-01 11:00:25.920
living;2017-02-01 11:00:18.669;2017-02-01 11:45:09.964
working;2017-02-01 11:00:31.640;2017-02-01 11:44:59.250
hall;2017-02-01 11:45:04.934;2017-02-01 11:45:17.980
bathroom;2017-02-01 11:45:10.533;2017-02-01 11:47:04.562
hall;2017-02-01 11:47:00.283;2017-02-01 11:47:14.162
living;2017-02-01 11:47:09.622;2017-02-01 12:46:52.071
working;2017-02-01 11:47:30.838;2017-02-01 12:46:12.013
hall;2017-02-01 12:46:46.878;2017-02-01 12:46:59.096
bedroom;2017-02-01 12:46:52.792;2017-02-01 12:52:13.617
dressing;2017-02-01 12:47:04.818;2017-02-01 12:52:03.166
hall;2017-02-01 12:52:08.064;2017-02-01 12:52:20.927
living;2017-02-01 12:52:13.937;2017-02-01 12:52:59.480
hall;2017-02-01 12:52:53.764;2017-02-01 12:53:25.497
absence;2017-02-01 12:53:25.497;2017-02-01 13:56:12.026
hall;2017-02-01 13:56:12.026;2017-02-01 13:56:40.821
living;2017-02-01 13:56:35.301;2017-02-01 14:05:11.174
calling;2017-02-01 13:58:30.802;2017-02-01 14:03:19.153
hall;2017-02-01 14:05:05.295;2017-02-01 14:05:17.544
bedroom;2017-02-01 14:05:12.645;2017-02-01 14:06:32.796
dressing;2017-02-01 14:05:20.647;2017-02-01 14:06:22.276
hall;2017-02-01 14:06:23.945;2017-02-01 14:06:41.748
bathroom;2017-02-01 14:06:33.746;2017-02-01 14:16:10.938
showering;2017-02-01 14:06:53.274;2017-02-01 14:13:49.671
getting dry;2017-02-01 14:14:07.656;2017-02-01 14:15:39.320
hall;2017-02-01 14:16:05.581;2017-02-01 14:16:21.254
bedroom;2017-02-01 14:16:12.925;2017-02-01 14:19:19.863
dressing;2017-02-01 14:16:24.963;2017-02-01 14:19:13.968
hall;2017-02-01 14:19:14.866;2017-02-01 14:19:35.058
living;2017-02-01 14:19:25.815;2017-02-01 14:29:23.530
calling;2017-02-01 14:20:31.309;2017-02-01 14:21:42.145
working;2017-02-01 14:26:04.029;2017-02-01 14:28:29.817
hall;2017-02-01 14:29:18.925;2017-02-01 14:29:31.406
bathroom;2017-02-01 14:29:24.384;2017-02-01 14:30:49.715
hall;2017-02-01 14:30:45.665;2017-02-01 14:30:58.343
living;2017-02-01 14:30:54.685;2017-02-01 14:35:45.915
working;2017-02-01 14:31:03.093;2017-02-01 14:34:05.992
vacuumcleaner;2017-02-01 14:34:40.519;2017-02-01 14:39:04.391
hall;2017-02-01 14:35:37.973;2017-02-01 14:38:45.453
bathroom;2017-02-01 14:36:12.807;2017-02-01 14:36:42.725
wcroom;2017-02-01 14:36:53.169;2017-02-01 14:37:27.510
bedroom;2017-02-01 14:37:31.989;2017-02-01 14:38:31.945
living;2017-02-01 14:38:40.851;2017-02-01 15:00:12.092
cooking;2017-02-01 14:39:44.433;2017-02-01 14:52:52.149
eating;2017-02-01 14:52:59.008;2017-02-01 14:57:55.955
calling;2017-02-01 14:58:37.837;2017-02-01 14:58:56.787
hall;2017-02-01 15:00:06.278;2017-02-01 15:00:22.912
absence;2017-02-01 15:00:22.912;2017-02-01 15:07:22.139
hall;2017-02-01 15:07:22.139;2017-02-01 15:08:06.506
visit;2017-02-01 15:07:22.869;2017-02-01 15:29:13.833
living;2017-02-01 15:07:47.425;2017-02-01 15:28:56.463
hall;2017-02-01 15:26:33.832;2017-02-01 15:27:11.661
wcroom;2017-02-01 15:27:01.728;2017-02-01 15:28:04.637
toilet;2017-02-01 15:27:17.961;2017-02-01 15:28:00.388
hall;2017-02-01 15:27:58.566;2017-02-01 15:28:11.247
hall;2017-02-01 15:28:37.094;2017-02-01 15:29:13.833
absence;2017-02-01 15:29:13.833;2017-02-01 15:32:18.723
hall;2017-02-01 15:32:18.723;2017-02-01 16:34:12.499
dont use;2017-02-01 15:32:19.352;2017-02-01 16:34:13.427
absence;2017-02-01 16:34:12.499;2017-02-01 16:54:33.610
hall;2017-02-01 16:54:33.610;2017-02-01 16:55:08.271
visit;2017-02-01 16:54:34.982;2017-02-01 17:36:57.153
living;2017-02-01 16:55:03.885;2017-02-01 17:40:01.910
hall;2017-02-01 17:39:41.692;2017-02-01 17:40:10.035
absence;2017-02-01 17:40:10.035;2017-02-01 18:00:55.497
hall;2017-02-01 18:00:55.497;2017-02-01 18:01:37.772
wcroom;2017-02-01 18:01:30.129;2017-02-01 18:12:20.668
toilet;2017-02-01 18:01:39.740;2017-02-01 18:12:06.435
hall;2017-02-01 18:12:15.638;2017-02-01 18:12:28.647
living;2017-02-01 18:12:22.833;2017-02-02 00:03:30.046
calling;2017-02-01 18:13:31.706;2017-02-01 18:26:41.925
cooking;2017-02-01 18:29:20.733;2017-02-01 19:00:36.184
eating;2017-02-01 19:00:39.450;2017-02-01 19:11:03.430
dishwashing;2017-02-01 19:11:04.112;2017-02-01 19:17:27.077
watching tv;2017-02-01 19:17:46.562;2017-02-01 22:22:41.669
cooking;2017-02-01 22:23:17.137;2017-02-01 22:29:24.689
eating;2017-02-01 22:29:23.350;2017-02-01 22:34:34.714
watching tv;2017-02-01 22:34:49.177;2017-02-02 00:01:29.083
vacuumcleaner;2017-02-02 00:01:49.238;2017-02-02 00:06:22.798
hall;2017-02-02 00:03:19.752;2017-02-02 00:06:03.911
bathroom;2017-02-02 00:03:52.757;2017-02-02 00:04:33.280
wcroom;2017-02-02 00:04:41.560;2017-02-02 00:05:09.847
bedroom;2017-02-02 00:05:17.209;2017-02-02 00:05:52.732
living;2017-02-02 00:06:00.070;2017-02-02 00:06:38.135
hall;2017-02-02 00:06:29.798;2017-02-02 00:06:47.657
wcroom;2017-02-02 00:06:40.112;2017-02-02 00:07:44.811
toilet;2017-02-02 00:06:52.599;2017-02-02 00:07:37.039
hall;2017-02-02 00:07:38.932;2017-02-02 00:08:05.801
bathroom;2017-02-02 00:07:55.262;2017-02-02 00:12:29.923
toothbrushing;2017-02-02 00:08:31.764;2017-02-02 00:10:12.360
shaving;2017-02-02 00:10:17.810;2017-02-02 00:12:00.220
hall;2017-02-02 00:12:22.835;2017-02-02 00:12:38.696
living;2017-02-02 00:12:34.483;2017-02-02 03:20:03.540
working;2017-02-02 00:13:20.004;2017-02-02 02:29:10.864
watching tv;2017-02-02 02:29:37.605;2017-02-02 03:19:49.906
hall;2017-02-02 03:19:57.693;2017-02-02 03:20:11.023
bedroom;2017-02-02 03:20:04.687;2017-02-02 07:54:06.127
sleeping;2017-02-02 03:20:17.511;2017-02-02 07:53:42.223
hall;2017-02-02 07:53:59.693;2017-02-02 07:54:15.329
wcroom;2017-02-02 07:54:06.804;2017-02-02 07:57:37.207
toilet;2017-02-02 07:54:21.705;2017-02-02 07:57:27.347
hall;2017-02-02 07:57:30.152;2017-02-02 07:57:47.240
living;2017-02-02 07:57:41.263;2017-02-02 08:15:51.826
cooking;2017-02-02 07:58:51.144;2017-02-02 08:07:54.068
eating;2017-02-02 08:08:03.278;2017-02-02 08:15:25.026
hall;2017-02-02 08:15:46.731;2017-02-02 08:16:01.403
bedroom;2017-02-02 08:15:56.308;2017-02-02 08:16:50.289
dressing;2017-02-02 08:16:05.425;2017-02-02 08:16:44.176
hall;2017-02-02 08:16:42.221;2017-02-02 08:16:59.789
bathroom;2017-02-02 08:16:51.068;2017-02-02 08:23:34.169
showering;2017-02-02 08:17:10.097;2017-02-02 08:19:58.899
getting dry;2017-02-02 08:20:04.640;2017-02-02 08:21:18.287
toothbrushing;2017-02-02 08:21:56.253;2017-02-02 08:23:24.110
hall;2017-02-02 08:23:30.315;2017-02-02 08:23:42.811
bedroom;2017-02-02 08:23:37.324;2017-02-02 08:25:00.578
dressing;2017-02-02 08:23:52.787;2017-02-02 08:24:56.581
hall;2017-02-02 08:24:56.397;2017-02-02 08:25:07.674
living;2017-02-02 08:25:02.481;2017-02-02 08:29:25.895
hall;2017-02-02 08:29:18.905;2017-02-02 08:29:40.497
absence;2017-02-02 08:29:40.497;2017-02-02 14:59:07.006
visit;2017-02-02 14:59:07.006;2017-02-02 15:08:47.100
hall;2017-02-02 14:59:07.006;2017-02-02 14:59:36.901
living;2017-02-02 14:59:20.243;2017-02-02 15:08:41.652
hall;2017-02-02 15:08:30.612;2017-02-02 15:08:46.969
absence;2017-02-02 15:08:46.969;2017-02-02 15:09:21.514
hall;2017-02-02 15:09:21.514;2017-02-02 15:09:46.922
bedroom;2017-02-02 15:09:38.561;2017-02-02 15:10:31.538
hall;2017-02-02 15:10:26.377;2017-02-02 15:10:40.502
living;2017-02-02 15:10:34.982;2017-02-02 15:11:31.822
hall;2017-02-02 15:11:26.955;2017-02-02 15:11:42.133
absence;2017-02-02 15:11:42.133;2017-02-02 17:30:36.371
hall;2017-02-02 17:30:36.371;2017-02-02 17:31:11.753
living;2017-02-02 17:31:01.497;2017-02-02 17:36:58.376
hall;2017-02-02 17:36:52.856;2017-02-02 17:37:21.485
bedroom;2017-02-02 17:36:59.275;2017-02-02 17:37:12.144
living;2017-02-02 17:37:13.737;2017-02-02 18:37:16.503
dishwashing;2017-02-02 17:38:44.123;2017-02-02 17:47:43.167
cooking;2017-02-02 17:47:50.640;2017-02-02 18:15:42.517
eating;2017-02-02 18:15:47.188;2017-02-02 18:28:42.429
dishwashing;2017-02-02 18:28:59.973;2017-02-02 18:36:57.200
hall;2017-02-02 18:37:10.101;2017-02-02 18:37:24.562
absence;2017-02-02 18:37:24.562;2017-02-02 18:38:45.887
hall;2017-02-02 18:38:45.887;2017-02-02 18:39:06.660
bathroom;2017-02-02 18:38:54.118;2017-02-02 18:42:59.815
toothbrushing;2017-02-02 18:39:22.629;2017-02-02 18:40:45.786
shaving;2017-02-02 18:40:51.485;2017-02-02 18:42:42.767
hall;2017-02-02 18:42:52.499;2017-02-02 18:43:10.299
living;2017-02-02 18:43:03.505;2017-02-02 21:57:41.007
watching tv;2017-02-02 18:43:48.916;2017-02-02 21:56:55.690
hall;2017-02-02 21:57:36.107;2017-02-02 21:57:51.604
wcroom;2017-02-02 21:57:42.263;2017-02-02 22:03:57.130
toilet;2017-02-02 21:57:52.136;2017-02-02 22:03:42.814
hall;2017-02-02 22:03:49.063;2017-02-02 22:04:07.123
living;2017-02-02 22:03:59.415;2017-02-02 22:08:00.620
vacuumcleaner;2017-02-02 22:04:43.487;2017-02-02 22:12:43.402
hall;2017-02-02 22:07:52.286;2017-02-02 22:12:07.670
bathroom;2017-02-02 22:08:40.838;2017-02-02 22:09:39.888
wcroom;2017-02-02 22:09:56.335;2017-02-02 22:10:29.386
bedroom;2017-02-02 22:10:37.958;2017-02-02 22:11:47.220
living;2017-02-02 22:11:59.523;2017-02-02 22:14:37.003
hall;2017-02-02 22:14:30.830;2017-02-02 22:14:48.010
bedroom;2017-02-02 22:14:38.375;2017-02-02 22:15:45.011
dressing;2017-02-02 22:14:55.275;2017-02-02 22:15:35.341
hall;2017-02-02 22:15:38.675;2017-02-02 22:16:00.004
bathroom;2017-02-02 22:15:46.874;2017-02-02 22:31:33.253
showering;2017-02-02 22:16:21.551;2017-02-02 22:25:32.938
getting dry;2017-02-02 22:25:53.577;2017-02-02 22:27:25.642
